datetime_utc,conds,dewptm,fog,hail,heatindexm,hum,precipm,pressurem,rain,snow,tempm,thunder,tornado,vism,wdird,wdire,wgustm,windchillm,wspdm,year,month,day,hour,AQI
20150101-03:00,Partial Fog,10,1,0,,90,,1018,0,0,11,0,0,0.5,,,,,0,2015,01,01,03,0
20150101-06:00,Smoke,11,0,0,,54,,1019,0,0,18,0,0,1,,,,,0,2015,01,01,06,0
20150101-09:00,Smoke,11,0,0,,43,,1016,0,0,21,0,0,1,340,NNW,,,7.4,2015,01,01,09,0
20150101-12:00,Haze,12,0,0,,54,,1016,0,0,19,0,0,1,,,,,0,2015,01,01,12,0
20150101-15:00,Mist,11,0,0,,72,,1018,0,0,14,0,0,1,,,,,0,2015,01,01,15,0
20150101-18:00,Mist,11,0,0,,87,,1019,0,0,12,0,0,1,,,,,0,2015,01,01,18,0
20150101-21:00,Mist,12,0,0,,85,,1018,0,0,13,0,0,1,,,,,0,2015,01,01,21,0
20150102-00:00,Light Rain,13,0,0,,92,,1017,1,0,14,0,0,0.5,140,SE,,,7.4,2015,01,02,00,0
20150102-03:00,Light Rain,14,0,0,,96,,1019,1,0,15,0,0,0.5,160,SSE,,,7.4,2015,01,02,03,0
20150102-06:00,Light Drizzle,15,0,0,,98,,1020,1,0,16,0,0,1,,,,,0,2015,01,02,06,0
20150102-09:00,Light Rain,15,0,0,,100,,1017,1,0,15,0,0,1,50,NE,,,9.3,2015,01,02,09,0
20150102-12:00,Light Drizzle,15,0,0,,97,,1017,1,0,15,0,0,0.5,,,,,0,2015,01,02,12,0
20150102-15:00,Patches of Fog,14,1,0,,96,,1018,0,0,14,0,0,0.5,,,,,0,2015,01,02,15,0
20150102-18:00,Light Drizzle,14,0,0,,95,,1018,1,0,15,0,0,0.5,,,,,0,2015,01,02,18,0
20150102-21:00,Mist,14,0,0,,99,,1017,0,0,15,0,0,1,,,,,0,2015,01,02,21,0
20150103-00:00,Heavy Fog,14,1,0,,96,,1016,0,0,15,0,0,0.05,,,,,0,2015,01,03,00,0
20150103-03:00,Light Rain,14,0,0,,96,,1014,1,0,14,0,0,0.5,320,NW,,,7.4,2015,01,03,03,0
20150103-06:00,Mist,15,0,0,,88,,1019,0,0,16,0,0,1,,,,,0,2015,01,03,06,0
20150103-09:00,Mist,14,0,0,,79,,1017,0,0,17,0,0,1,,,,,0,2015,01,03,09,0
20150103-12:00,Patches of Fog,15,1,0,,88,,1017,0,0,16,0,0,0.5,,,,,0,2015,01,03,12,0
20150103-15:00,Partial Fog,14,1,0,,95,,1018,0,0,15,0,0,0.5,,,,,0,2015,01,03,15,0
20150103-18:00,Partial Fog,14,1,0,,94,,1019,0,0,14,0,0,0.5,,,,,0,2015,01,03,18,0
